pagenation,region,hpatitisc-incidence,heptitisc-ir,heptitisc-death,heptitisc-dr,heptitisb-incidence,heptitisb-death,heptitisb-ir,heptitisb-dr,hepatitise-incidence,hepatitise-death,hepatitise-ir,hepatitise-dr,hepatitisa-incidence,hepatitisa-death,hepatitisa-ir,hepatitisa-dr,hepatitis-incidence,hepatitis-death,hepatitis-ir,hepatitis-dr,hepatitisun-incidence,hepatitisun-death,hepatitisun-ir,hepatitisun-dr
6-Jan,海南省,16,0.1932,0,0,473,0,5.7126,0,0,0,0,0,47,0,0.5676,0,569,0,6.872,0,33,0,0.3986,0
7-Apr,黑龙江省,384,1.0044,1,0.0026,2025,1,5.2969,0.0026,52,0,0.136,0,61,0,0.1596,0,2698,2,7.0573,0.0052,176,0,0.4604,0
14-Dec,安徽省,410,0.68,0,0,2414,0,4.0034,0,133,0,0.2206,0,56,0,0.0929,0,3178,0,5.2705,0,165,0,0.2736,0
14-Dec,甘肃省,605,2.343,0,0,921,0,3.5668,0,14,0,0.0542,0,61,0,0.2362,0,1631,0,6.3164,0,30,0,0.1162,0
9-Feb,宁??? 夏,33,0.5449,0,0,665,0,10.9811,0,1,0,0.0165,0,67,0,1.1064,0,782,0,12.9131,0,16,0,0.2642,0
4-Jun,全国,3388,0.2606,6,0.0005,78682,79,6.053,0.0061,1467,2,0.1129,0.0002,8404,1,0.6465,0.0001,99485,99,7.6534,0.0076,7544,11,0.5804,0.0008
16-May,湖南省,1173,1.7411,0,0,4898,0,7.27,0,92,0,0.1366,0,44,0,0.0653,0,6316,0,9.3748,0,107,0,0.1588,0
9-Oct,四川省,400,0.4888,1,0.0012,4933,1,6.0286,0.0012,31,1,0.0379,0.0012,336,0,0.4106,0,5949,4,7.2703,0.0049,249,1,0.3043,0.0012
7-Jun,北京市,141,0.8918,1,0.0063,507,7,3.2068,0.0443,46,1,0.291,0.0063,31,1,0.1961,0.0063,750,10,4.7438,0.0633,25,0,0.1581,0
9-Jan,全??? 国,8765,0.66,16,0.0012,94761,45,7.1355,0.0034,1930,1,0.1453,0.0001,3100,1,0.2334,0.0001,112516,67,8.4725,0.005,3960,4,0.2982,0.0003
12-Mar,西??? 藏,3,0.0989,0,0,87,0,2.8684,0,0,0,0,0,8,0,0.2638,0,99,0,3.264,0,1,0,0.033,0
7-Mar,吉林省,455,1.671,0,0,1440,2,5.2883,0.0073,34,0,0.1249,0,64,0,0.235,0,2097,2,7.7011,0.0073,104,0,0.3819,0
14-Jan,宁??? 夏,66,1.0089,0,0,705,0,10.7767,0,4,0,0.0611,0,6,0,0.0917,0,783,0,11.969,0,2,0,0.0306,0
14-Feb,青海省,185,3.2019,0,0,790,0,13.6728,0,9,0,0.1558,0,46,0,0.7961,0,1039,0,17.9823,0,9,0,0.1558,0
5-Sep,全??? 国,4465,0.3435,2,0.0002,79384,62,6.107,0.0048,942,5,0.0725,0.0004,6496,4,0.4997,0.0003,96937,84,7.4574,0.0065,5650,11,0.4347,0.0008
6-Apr,湖南省,170,0.2687,1,0.0016,2242,4,3.5441,0.0063,38,0,0.0601,0,350,0,0.5533,0,3007,5,4.7534,0.0079,207,0,0.3272,0
10-Sep,天津市,23,0.1873,0,0,164,0,1.3353,0,13,0,0.1058,0,3,0,0.0244,0,214,0,1.7424,0,11,0,0.0896,0
5-May,上海市,19,0.107,0,0,567,3,3.192,0.0169,72,0,0.4053,0,31,0,0.1745,0,957,4,5.3876,0.0225,268,1,1.5088,0.0056
5-Jul,广东省,371,0.4064,0,0,5938,11,6.5039,0.012,69,0,0.0756,0,150,0,0.1643,0,6814,11,7.4634,0.012,286,0,0.3133,0
16-Mar,新疆,1176,5.1164,2,0.0087,3739,0,16.2673,0,45,0,0.1958,0,202,0,0.8788,0,5204,2,22.6412,0.0087,41,0,0.1784,0
11-Dec,黑龙江省,476,1.2424,0,0,1313,1,3.4271,0.0026,57,0,0.1488,0,25,0,0.0653,0,1946,1,5.0793,0.0026,75,0,0.1958,0
13-Apr,内蒙古,638,2.5624,0,0,2322,1,9.3259,0.004,21,0,0.0843,0,27,0,0.1084,0,3018,1,12.1212,0.004,10,0,0.0402,0
7-Jan,青海省,67,1.2226,1,0.0182,1167,1,21.2958,0.0182,3,0,0.0547,0,76,0,1.3869,0,1341,2,24.471,0.0365,28,0,0.511,0
10-Oct,全??? 国,12049,0.9027,8,0.0006,80779,70,6.052,0.0052,1468,2,0.11,0.0001,3339,0,0.2502,0,101422,81,7.5986,0.0061,3787,1,0.2837,0.0001
10-Feb,建设兵团,66,2.565,0,0,198,0,7.6949,0,3,0,0.1166,0,6,0,0.2332,0,274,0,10.6484,0,1,0,0.0389,0
13-Sep,贵州省,313,0.8984,0,0,1600,0,4.5924,0,29,0,0.0832,0,22,0,0.0631,0,2016,0,5.7865,0,52,0,0.1493,0
5-Aug,宁??? 夏,25,0.4241,0,0,709,0,12.0266,0,0,0,0,0,72,0,1.2213,0,817,0,13.8586,0,11,0,0.1866,0
5-Sep,北京市,104,0.6769,0,0,724,4,4.7125,0.026,36,0,0.2343,0,24,0,0.1562,0,961,4,6.2551,0.026,73,0,0.4752,0
4-Jan,北京市,35,0.2363,0,0,280,4,1.8901,0.027,26,0,0.1755,0,31,0,0.2093,0,475,4,3.2064,0.027,103,0,0.6953,0
7-Jun,辽宁省,345,0.8078,0,0,2515,2,5.8886,0.0047,156,0,0.3653,0,185,0,0.4332,0,3436,2,8.045,0.0047,235,0,0.5502,0
13-Jan,湖南省,986,1.4852,0,0,4479,2,6.7466,0.003,140,0,0.2109,0,55,0,0.0828,0,5798,2,8.7334,0.003,138,0,0.2079,0
5-Nov,甘肃省,232,0.8998,0,0,4390,8,17.0255,0.031,2,0,0.0078,0,462,0,1.7918,0,5145,8,19.9536,0.031,59,0,0.2288,0
16-Jun,安徽省,558,0.9173,0,0,3453,0,5.6766,0,101,0,0.166,0,35,0,0.0575,0,4340,0,7.1348,0,191,0,0.314,0
9-Feb,广??? 西,695,1.4431,0,0,3647,3,7.5727,0.0062,80,0,0.1661,0,113,0,0.2346,0,4729,3,9.8194,0.0062,194,0,0.4028,0
15-Mar,上海市,177,0.7297,0,0,951,0,3.9206,0,67,1,0.2762,0.0041,20,0,0.0825,0,1224,1,5.046,0.0041,9,0,0.0371,0
